Complexity metrics,ÖÜÈý, 13 10ÔÂ 2021 21:03:00 CST
Method,CogC,ev(G),iv(G),v(G)
"TextEditor.OpenPrinter(File,String)",16,6,9,11
"TextEditor.about()",0,1,1,1
"TextEditor.aboutlistening()",0,1,1,1
"TextEditor.copylistening()",0,1,1,1
"TextEditor.cutlistening()",0,1,1,1
"TextEditor.exitlistening()",0,1,1,1
"TextEditor.function(TextEditor)",0,1,1,1
"TextEditor.main(String[])",0,1,1,1
"TextEditor.newlistening()",2,1,2,2
"TextEditor.news()",1,1,2,2
"TextEditor.openlistening()",6,2,3,4
"TextEditor.pastelistening()",0,1,1,1
"TextEditor.printlistening()",5,1,2,3
"TextEditor.rightlistening()",5,1,3,3
"TextEditor.savelistening()",16,1,6,6
"TextEditor.searchlistening()",0,1,1,1
"TextEditor.selectalllistening()",0,1,1,1
"TextEditor.timeAndDate()",0,1,1,1
"TextEditor.window()",0,1,1,1
"TextEditorTest.onSetUp()",0,1,1,1
"TextEditorTest.open()",2,1,3,3
"TextEditorTest.savelistening()",0,1,1,1
"TextEditorTest.searchlistening()",0,1,1,1
"null.actionPerformed(ActionEvent)",3,n/a,n/a,n/a
"null.mousePressed(MouseEvent)",3,n/a,n/a,n/a
"null.mouseReleased(MouseEvent)",0,n/a,n/a,n/a
"null.run()",0,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
"TextEditor",1.50,8,48
"TextEditorTest",1.25,2,5

Package,v(G)avg,v(G)tot
"",2.13,49

Module,v(G)avg,v(G)tot
"assignment1",2.13,49

Project,v(G)avg,v(G)tot
"project",2.13,49

