Lines of code metrics,ÖÜÈý, 13 10ÔÂ 2021 20:58:34 CST
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"TextEditor.OpenPrinter(File,String)",0,0,45,45,12.03%
"TextEditor.about()",0,0,6,6,1.60%
"TextEditor.aboutlistening()",0,0,9,9,2.41%
"TextEditor.copylistening()",0,0,9,9,2.41%
"TextEditor.cutlistening()",0,0,9,9,2.41%
"TextEditor.exitlistening()",0,0,10,10,2.67%
"TextEditor.function(TextEditor)",0,0,12,12,3.21%
"TextEditor.main(String[])",0,0,6,6,1.60%
"TextEditor.newlistening()",1,0,14,13,3.74%
"TextEditor.news()",0,0,10,10,2.67%
"TextEditor.openlistening()",0,0,28,28,7.49%
"TextEditor.pastelistening()",0,0,12,12,3.21%
"TextEditor.printlistening()",0,0,21,21,5.61%
"TextEditor.rightlistening()",1,0,17,16,4.55%
"TextEditor.savelistening()",1,0,34,33,9.09%
"TextEditor.searchlistening()",35,0,49,14,13.10%
"TextEditor.selectalllistening()",0,0,9,9,2.41%
"TextEditor.timeAndDate()",0,0,12,12,3.21%
"TextEditor.window()",1,0,28,27,7.49%
"TextEditorTest.onSetUp()",0,0,6,6,15.00%
"TextEditorTest.open()",0,0,17,17,42.50%
"TextEditorTest.savelistening()",0,0,3,3,7.50%
"TextEditorTest.searchlistening()",2,0,8,6,20.00%

Class,CLOC,JLOC,LOC
"TextEditor",39,0,374
"TextEditorTest",2,0,40

Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt,NCLOCt(rec)
"",0,42,0,0,455,455,396,396,59,59,413,356,356,57,57

Module,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"assignment1",0,0,0,455,0,39,498,396,59,455,356,57

FileType,LOC,NCLOC
".gitignore (GitIgnore)",1,1
"Java",455,413
"Text",1,n/a
"XML",39,39
"YAML",2,2

Project,CLOC,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",43,0,0,0,455,0,39,498,396,59,455,356,57

