Metrics,ÖÜÈý, 13 10ÔÂ 2021 21:48:30 CST
Method,v(G)
"TextEditor.OpenPrinter(File,String)",11
"TextEditor.about()",1
"TextEditor.aboutlistening()",1
"TextEditor.copylistening()",1
"TextEditor.cutlistening()",1
"TextEditor.exitlistening()",1
"TextEditor.function(TextEditor)",1
"TextEditor.main(String[])",1
"TextEditor.newlistening()",2
"TextEditor.news()",2
"TextEditor.openlistening()",4
"TextEditor.pastelistening()",1
"TextEditor.printlistening()",3
"TextEditor.rightlistening()",3
"TextEditor.savelistening()",6
"TextEditor.searchlistening()",1
"TextEditor.selectalllistening()",1
"TextEditor.timeAndDate()",1
"TextEditor.window()",1
"TextEditorTest.onSetUp()",1
"TextEditorTest.open()",3
"TextEditorTest.savelistening()",1
"TextEditorTest.searchlistening()",1

Project,LOC,METH
"project",498,23

